😀	にこ
😃	にこにこ
😄	わらい
😁	わらい
😆	わらい
😅	あせ
🤣	わらい
😂	わらい
🙂	ほほえみ
🙃	さかさま
🫠	とける
😉	うぃんく
😊	にこにこ
😇	てんし
🥰	はーとわらい
😍	めはーと
🤩	きらきら
😘	ちゅー
😗	ちゅー
☺️	にこにこ
😚	ちゅー
😙	ちゅー
🥲	なみだわらい
😋	おいしい
😛	べー
😜	べー
🤪	おかしな
😝	べー
🤑	おかね
🤗	だっき
🫢	おどろき
🫣	かくす
🤫	しー
🤔	かんがえる
🫡	けいれい
🤐	くち
🤨	まゆ
😐	む
😑	む
😶	む
🫥	きえる
😏	にやり
😒	む
🙄	め
😬	しかめ
🤥	うそ
🫨	ふるえる
😌	ほっと
😔	しょんぼり
😪	ねむい
🤤	よだれ
😴	ねむる
🫩	ねむる
😷	ますく
🤒	ねつ
🤕	けが
🤢	むかむか
🤮	はく
🤧	くしゃみ
🥵	あつい
🥶	さむい
🥴	ふらふら
😵	めまい
🤯	あたま
🤠	かうぼーい
🥳	おめでとう
🥸	かお
😎	さんぐらす
🤓	めがね
🧐	めがね
😕	わからない
🫤	わからない
😟	しんぱい
🙁	しょんぼり
☹️	しょんぼり
😮	おどろき
😯	おどろき
😲	おどろき
😳	あか
🥺	おねがい
🥹	なみだ
😦	おどろき
😧	おどろき
😨	こわい
😰	あせ
😥	しょんぼり
😢	なみだ
😭	なみだ
😱	こわい
😖	くるしい
😣	くるしい
😞	しょんぼり
😓	あせ
😩	つかれた
😫	つかれた
🥱	あくび
😤	いかり
😡	いかり
😠	いかり
🤬	ののしる
😈	あくま
👿	あくま
💀	どくろ
☠️	どくろ
💩	うんち
🤡	ぴえろ
👹	おに
👺	たぬき
👻	おばけ
👽	うちゅうじん
👾	げーむ
🤖	ろぼっと
😺	ねこ
😸	ねこわらい
😹	ねこなみだ
😻	ねこはーと
😼	ねこにやり
😽	ねこちゅう
🙀	ねこおどろき
😿	ねこなみだ
😾	ねこおこり
🙈	みざる
🙉	きかざる
🙊	いわざる
💌	らぶれたー
💘	はーとやじるし
💝	はーとりぼん
💖	きらきらはーと
💗	ふくらむはーと
💓	どきどきはーと
💞	はーと
💕	はーと
💟	はーと
❣️	はーと
💔	われたはーと
❤️	はーと
🩷	ぴんくはーと
🧡	おれんじはーと
💛	きいろはーと
💚	みどりはーと
💙	あおはーと
🩵	みずいろはーと
💜	むらさきはーと
🤎	ちゃいろはーと
🖤	くろはーと
🩶	はいいろはーと
🤍	しろはーと
💋	くちびる
💯	ひゃくてん
💢	いかり
💥	ばくはつ
💫	めまい
💦	あせ
💨	にげる
💬	ふきだし
💭	かんがえる
💤	ねむる
👋	て
🤚	て
✋	て
🖖	て
🫱	て
🫲	て
🫳	て
🫴	て
🫷	て
🫸	て
👌	て
🤌	て
🤏	て
✌️	て
🤞	て
🫰	て
🤟	て
🤘	て
🤙	て
👈	て
👉	て
👆	て
🖕	て
👇	て
☝️	て
🫵	て
👍	て
👎	て
✊	て
👊	て
🤛	て
🤜	て
👏	て
🙌	て
🫶	て
👐	て
🤲	て
🤝	て
🙏	て
✍️	て
💅	ねいる
🤳	じどり
💪	うで
🦾	うで
🦿	あし
🦵	あし
🦶	あし
👂	みみ
🦻	みみ
👃	はな
🧠	のう
🫀	しんぞう
🫁	はい
🦷	は
🦴	ほね
👀	め
👅	した
👄	くちびる
🫦	くちびる
👶	あかちゃん
🧒	こども
👦	おとこのこ
👧	おんなのこ
🧑	おとな
👱	ひと
👨	おとこ
🧔	ひげ
👩	おんな
🧓	おとしより
👴	おじいさん
👵	おばあさん
🙍	しょんぼり
🙎	おこり
🙅	だめ
🙆	いいよ
💁	て
🙋	て
🧏	みみ
🙇	おじぎ
🤦	て
🤷	て
👮	けいかん
💂	えいへい
🥷	にんじゃ
👷	こうむいん
🫅	おうかん
🤴	おうじ
👸	おうじょ
👳	たーばん
👲	ぼうし
🧕	すかーふ
🤵	たきしーど
👰	うぇでぃんぐ
🤰	にんしん
🫃	にんしん
🫄	にんしん
🤱	おっぱい
👼	てんし
🎅	さんた
🤶	さんた
🦸	ひーろー
🦹	ひーろー
🧙	まほうつかい
🧚	ようせい
🧛	きゅうけつき
